,COUNTRYNAME,YEAR,"Agriculture, forestry, and fishing, value added (% of GDP)",GDP (current US$),"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Population, total","Services, value added (% of GDP)","Stocks traded, total value (% of GDP)",Tax revenue (% of GDP),Trade (% of GDP),"Agriculture, forestry, and fishing, value added (% of GDP)(current US$)","Industry (including construction), value added (% of GDP)(current US$)","Services, value added (% of GDP)(current US$)","Stocks traded, total value (% of GDP)(current US$)",Tax revenue (% of GDP)(current US$),Trade (% of GDP)(current US$),GDP per Capita,GDP Growth
31,Brazil,2006,4.370043779,1107630000000.0,23.54402167,6.774274088,186653106.0,57.13812721,25.23203982,,26.04169989,4840391590933.7705,26078064722342.098,63287903841612.3,27947764265826.6,,28844568049160.7,5934.1632386229885,24.224737953016607
32,Brazil,2007,4.416915436,1397110000000.0,23.12538041,6.439038106,188552320.0,57.72623622,46.19798494,,25.29261138,6170916724789.96,32308700224615.1,80649901885324.2,64543666739523.4,,35336560285111.8,7409.667512974648,26.135081209429135
33,Brazil,2008,4.56785118,1695860000000.0,23.08529375,8.778552728,190367302.0,56.80486177,33.60324803,,27.25756942,7746436102114.8,39149426258875.0,96333092881272.2,56986404204155.805,,46225021676601.195,8908.357591788532,21.383427217613505
34,Brazil,2009,4.476773992,1667000000000.0,21.87859263,7.313482743,192079951.0,59.14505922,42.46360662,,22.10597561,7462782244664.0,36471613914210.0,98594813719740.0,70786832235540.0,,36850661341870.0,8678.677765801804,-1.7017914214616736
35,Brazil,2010,4.115756488,2208840000000.0,23.26797736,8.423338338,193701929.0,57.61292197,41.11356491,14.24957596,22.77217811,9091047560953.92,51395239111862.4,127257726564214.81,90813286715804.4,31475033363486.4,50300097896492.4,11403.293768953637,32.50389922015597
36,Brazil,2011,4.342034128,2616160000000.0,23.10205097,8.318592222,195284734.0,57.56816932,31.53162118,14.85129878,23.93440518,11359456004308.48,60438661665675.2,150607541848211.22,82491766066268.8,38853373816284.805,62616233455708.8,13396.643692588894,18.440448380145224
37,Brazil,2012,4.168328224,2465230000000.0,22.13364737,7.943126935,196876111.0,58.73360251,33.73477084,14.33241109,25.11427361,10275887787651.52,54564531505945.09,144791838915727.28,83163969117893.2,35332689791400.7,61912460731580.305,12521.732512280274,-5.76914256008807
38,Brazil,2013,4.506886183,2472820000000.0,21.22480995,7.504564534,198478299.0,59.67875799,29.91234497,14.12530574,25.78595733,11144718291046.059,52485134540559.0,147574826332831.8,73967844888715.4,34929338539986.8,63764031004770.59,12458.89355389931,0.3078820231783741
39,Brazil,2014,4.325610539,2456040000000.0,20.47246275,7.846709752,200085127.0,61.25097401,26.2280086,13.49007452,24.68540581,10623872508205.56,50281187412509.99,150434842207520.4,64417038241944.0,33132162624100.8,60628344085592.4,12274.97534087079,-0.678577494520427
40,Brazil,2015,4.31914943,1802210000000.0,19.36004398,7.566175007,201675532.0,62.30786717,23.30345829,13.62962937,26.95362594,7784014294240.301,34890864861195.8,112291861292445.7,41997725564820.9,24563454346907.7,48576094205327.4,8936.185674720322,-26.621309099200342
41,Brazil,2016,4.891353588,1795690000000.0,18.35475828,8.103604376,203218114.0,63.20369583,31.24591499,13.71043098,24.53368208,8783354724435.721,32959455895813.2,113494244564972.7,56107977088393.1,24619683806476.2,44054887574235.195,8836.269388859695,-0.3617780391852232
42,Brazil,2017,4.600591696,2063510000000.0,18.18850231,3.671384503,204703445.0,63.33867286,31.13631969,13.60522851,24.31973437,9493366970612.96,37532156401708.1,130699984833338.61,64250107043511.9,28074525082670.1,50184015069838.695,10080.484966923737,14.914601072568212
43,Brazil,2018,4.420399304,1916930000000.0,18.74905145,4.493534328,206107261.0,62.65335035,40.12637633,13.94010799,28.87620338,8473596037816.72,35940619196048.5,120102086886425.5,76919454578266.9,26722211209270.7,55353660545223.4,9300.64273669621,-7.103430562488189
44,Brazil,2019,4.205014095,1873290000000.0,18.75462757,4.224258863,207455459.0,63.06784925,55.44930338,13.73769484,28.89025787,7877210854022.55,35132856280605.3,118144371321532.5,103872625528720.2,25734686366823.598,54119831165292.3,9029.841918982715,-2.276556786111128
45,Brazil,2020,5.711485115,1476110000000.0,19.50611839,6.472499623,208660842.0,61.44844464,93.05529374,12.71938786,32.30207854,8430780293102.65,28793176416662.902,90704663617550.39,137359849642551.39,18775215614024.598,47681421153679.4,7074.207052226886,-21.202269803394024
46,Brazil,2021,6.558762612,1670650000000.0,22.1234752,13.04727086,209550294.0,56.91338419,84.38191511,14.13667513,37.65633076,10957396757737.799,36960583842880.0,95082345297023.5,140972646478521.5,23617436305934.5,62910548984194.01,7972.549062613102,13.179234609886791
47,Brazil,2022,5.767474908,1951920000000.0,22.81945685,8.570281962,210306415.0,58.08723107,66.19924845,14.72584792,38.81606598,11257649622423.36,44541754214652.0,113381628070154.4,129215637034524.0,28743677072006.4,75765855507681.6,9281.31459993743,16.83596205069884
48,Brazil,2023,6.023060235,2191130000000.0,22.14417392,5.159501074,211140729.0,59.17893586,54.73244826,14.04186242,33.66622983,13197307972715.55,48520763801329.6,129668741730921.81,119925909355933.8,30767546004334.598,73767086167407.89,10377.580916659617,12.255112914463705
49,Brazil,2024,5.579674314,2179410000000.0,21.32822148,3.79801408,211998573.0,59.31474253,41.73856005,,35.53122024,12160397996674.74,46482939175726.8,129271143017307.3,90965435158570.5,,77437096703258.4,10280.305047147653,-0.5348838270664014
50,Canada,2000,2.091653007,744773000000.0,29.50003752,4.374199036,30685730.0,61.30066732,84.38638337,14.85774318,82.76535785,1557806684982.4111,21970831443882.96,45655081901918.36,62848699901625.016,11065645961398.14,61641403862018.05,24270.988501821532,-65.82685222147278
51,Canada,2001,2.117890672,738982000000.0,28.44753546,1.573676792,31020855.0,62.54146881,60.34663433,14.18147981,78.34421839,1565083084575.904,21022216649301.723,46217019704151.42,44595076530452.06,10479858312953.42,57894967194278.98,23822.1029046427,-0.7775523548785968
52,Canada,2002,1.987623221,760649000000.0,27.57314103,1.257523455,31359199.0,63.01576544,58.95774569,13.37762747,75.70703208,1511883615430.429,20973482151328.47,47932878966170.56,44846150301352.81,10175678957428.03,57586478244619.92,24256.008579810983,2.9320064629449805
53,Canada,2003,2.053091392,895541000000.0,27.90741045,3.249737019,31642461.0,62.92361298,56.56340579,13.22893471,69.84009462,1838627518283.0718,24992230261803.45,56350675291722.18,50654848984582.39,11847053419128.111,62544668176089.42,28301.875761180523,17.733803633476143
54,Canada,2004,2.167813111,1026690000000.0,28.39111972,3.26087389,31938807.0,62.40435898,68.81278634,13.34474787,70.19241999,2225672042932.59,29148878705326.8,64069931321176.195,70649399607414.61,13700919190650.3,72065855679533.11,32145.533801559963,14.644667301664583
55,Canada,2005,1.880311458,1173110000000.0,29.21299152,3.116638471,32242732.0,62.03346575,79.45638971,13.29949289,69.75913302,2205812174494.38,34270052482027.2,72772079005982.5,93211085332698.1,15601768104187.9,81835136537092.19,36383.7034653267,14.261364189774905
56,Canada,2006,1.701018459,1319260000000.0,28.84755448,2.570172725,32571193.0,62.72319311,93.77517016,13.34822067,68.05216448,2244085612220.34,38057424723284.8,82748199742298.6,123713830985281.61,17609773601104.2,89778498511884.8,40503.889433831915,12.458337240326989
57,Canada,2007,1.587160732,1468820000000.0,28.68590191,3.300545618,32888886.0,63.09642128,118.8025814,13.33443201,66.28341975,2331253426376.24,42134426443446.195,92677285504489.61,174499607611948.0,19585880424928.2,97358412597194.98,44660.07149041168,11.336658429725755
58,Canada,2008,1.768273548,1552990000000.0,29.3420195,3.996316465,33247298.0,62.73445421,96.77010472,12.3901656,67.02360836,2746111137308.52,45567862863305.0,97425980043587.9,150283004929112.8,19241803275144.0,104086993546996.39,46710.26198880884,5.7304502934328205
59,Canada,2009,1.549893275,1374630000000.0,25.07601821,-2.324922096,33630069.0,66.86904248,96.96078946,12.30438595,58.47439182,2130529792613.25,34470246912012.3,91920191864282.4,133285210015399.8,16913978058448.5,80380653227526.6,40875.02764267299,-11.484941950688675
60,Canada,2010,1.493236081,1617340000000.0,26.35113316,2.848637796,34005902.0,65.73341913,86.86124037,11.7328093,60.2081215,2415070443244.54,42618741704994.4,106313288095714.2,140484158500015.81,18975941793262.0,97377003226810.0,47560.567574416935,17.656387537009955
61,Canada,2011,1.765664466,1793330000000.0,27.1393406,3.244455144,34339221.0,64.79820615,82.18666947,11.80392128,62.49873877,3166419056811.7803,48669793678198.0,116204567034979.5,147387819960635.1,21168326149062.402,112080863198404.11,52223.95697328137,10.881447314726644
62,Canada,2012,1.811345744,1828370000000.0,26.6346688,1.218443741,34713395.0,65.16324113,73.72551366,11.66442736,62.59554894,3311810217957.2803,48698029393856.0,119142515184858.11,134797517410534.2,21326889052203.2,114447823815427.8,52670.44609148716,1.9539069775222684
63,Canada,2013,1.894231512,1846600000000.0,26.61323518,1.740737931,35080992.0,65.16744128,71.67677234,11.6235046,62.2310749,3497887910059.1997,49144000083388.0,120338197067648.02,132358327803044.0,21463963594360.0,114915902910340.0,52638.19221531706,0.9970629577164436
64,Canada,2014,1.586548077,1805750000000.0,27.13794246,1.941198972,35434066.0,64.90199745,74.41721891,11.80837908,64.37866216,2864909190042.75,49004339597145.0,117196781895337.5,134378893046732.5,21322980523710.0,116251769195420.02,50960.846548064794,-2.2121737246831974
65,Canada,2015,1.869835946,1556510000000.0,24.41568255,-0.86765132,35704498.0,67.00099777,70.41879356,12.38981091,66.16490207,2910418348308.46,38003254045900.5,104287723038982.7,109607556364075.6,19284864579524.098,102986331720975.69,43594.22725954584,-13.802575107296134
66,Canada,2016,1.862225893,1527990000000.0,23.29530055,0.716978151,36110803.0,67.9588533,75.48237193,12.49656263,65.36368452,2845462542245.07,35594986287394.5,103840448253867.0,115336309485320.7,19094622733013.7,99875056309714.81,42313.930266241936,-1.8323043218482327
67,Canada,2017,1.889994632,1649270000000.0,24.02780289,2.571014645,36545075.0,67.11667206,77.6193571,12.61201668,65.10106085,3117111446718.64,39628334472390.3,110693513728396.2,128015277084317.0,20800620749823.6,107369226628079.5,45129.747305211444,7.937224720057068
68,Canada,2018,1.699891576,1725330000000.0,24.62230596,1.65111818,37072620.0,66.86584615,79.61697314,13.05768467,66.59988585,2932873932820.08,42481603141966.8,115365650337979.5,137365552267636.2,22528815091691.1,114906781053580.52,46539.19793097979,4.611737314084419
69,Canada,2019,1.697079353,1743730000000.0,24.07740788,1.546070734,37618495.0,67.67116348,82.1554373,12.7416889,66.17148528,2959248180206.69,41984498442592.4,118000237894980.4,143256900683129.0,22218065185597.0,115385204027294.39,46352.99737536018,1.0664626477253636
70,Canada,2020,1.839789311,1655680000000.0,22.45161732,1.070810261,38028638.0,69.55977998,118.0213144,13.50333209,61.15677096,3046102366436.48,37172693764377.6,115168736517286.4,195405529825792.0,22357196874771.2,101256042543052.81,43537.714918951344,-5.049520281236197
71,Canada,2021,1.597987865,2022380000000.0,25.33174752,7.785020111,38239864.0,66.38830766,108.2855969,13.12245299,62.24683672,3231738698418.6997,51230419549497.6,134262385645430.8,218994625458622.0,26538586477916.2,125886757645793.6,52886.69436690465,22.147999613451887
72,Canada,2022,,2190410000000.0,,7.906762131,38935934.0,,102.6861419,12.65663255,67.31762156,,,,224924752079179.0,27723214503845.5,147453191441239.62,56256.77298507851,8.308527576419866
73,Canada,2023,,2173340000000.0,,1.357265927,40083484.0,,92.94918865,13.8086311,66.63233134,,,,202010189660591.0,30010850314874.0,144814710994475.6,54220.33673519996,-0.7793061572947568
74,Canada,2024,,2241250000000.0,,3.036317695,41288599.0,,95.92759043,,65.17903399,,,,214997712051237.5,,146082509930087.5,54282.539351843836,3.124683666614514
75,China,2000,14.52725195,1223750000000.0,45.07383152,2.099784372,1262645000.0,40.39893948,61.49786103,,39.01094248,17777724573812.5,55159101322600.0,49438202188650.0,75258007435462.5,,47739640859900.0,969.1956171370417,-45.398773006134974
76,China,2001,13.82210696,1355040000000.0,44.2765436,2.212049155,1271850000.0,41.90132965,34.15254638,,38.08264695,18729507815078.4,59996487639743.99,56777977728936.0,46278066446755.195,,51603509923128.0,1065.4086566812125,10.72849846782431
77,China,2002,13.12949383,1489820000000.0,43.87580281,0.642696006,1280400000.0,42.99471503,22.70125372,,42.19444234,19560582497810.598,65367048542394.2,64054386345994.6,33820781817130.402,,62862124086978.805,1163.5582630427991,9.946569842956677
78,China,2003,12.17576009,1683900000000.0,44.98276213,2.642679798,1288400000.0,42.84148136,23.0418123,,51.07748013,20502762415551.0,75746473150707.0,72140770462104.0,38800107731970.0,,86009368790907.0,1306.969885128842,13.027077096561989
79,China,2004,12.72884294,1984200000000.0,45.23283266,6.990192211,1296075000.0,42.03832477,25.77849103,,58.64033404,25256570161548.0,89750986563972.0,83412444008634.0,51149681901726.0,,116354150802168.0,1530.9299230368613,17.833600570105123
80,China,2005,11.48281235,2317550000000.0,46.3816217,3.7487177,1303720000.0,42.135566,16.93022719,8.45243795,61.36007494,26611991761742.5,107491727370834.98,97651280983300.0,39236648024184.5,19588947571022.5,142205041677197.0,1777.6439726321603,16.80022175183953
81,China,2006,10.47586237,2791500000000.0,46.88650286,4.019457597,1311020000.0,42.63765037,41.51860161,8.929482825,63.56957986,29243369805855.0,130883672733690.0,119023001007855.02,115899176394315.0,24926651305987.496,177454482179190.0,2129.2581348873396,20.450475717891734
82,China,2007,10.09341946,3604060000000.0,46.18523623,7.913659445,1317885000.0,43.72132583,174.9542282,9.625737318,61.266464,36377289339007.6,166454362487093.8,157574281570869.78,630545535686492.0,34691734838311.082,220808012243840.0,2734.7302685742684,29.108364678488275
83,China,2008,10.00997707,4667350000000.0,46.23641913,7.856586465,1324655000.0,43.75359601,83.66761952,9.943413528,56.711133,46720066477664.5,215801550826405.5,204213346337273.5,390506063966672.0,46409391129910.805,264690706607550.0,3523.445727378072,29.502561000649273
84,China,2009,9.472995817,5189580000000.0,45.17885872,-0.081966942,1331260000.0,45.34815368,150.8943117,10.13485038,44.41976443,49160869631986.86,234459301636137.6,235337871374654.4,783078102112086.0,52595616835040.4,230519921090639.4,3898.246773733155,11.189004467203013
85,China,2010,9.166499061,6192560000000.0,45.70662071,6.928457313,1337705000.0,45.12687199,133.3493069,10.03827966,49.85407223,56764095425186.16,283040991143917.6,279450862410394.38,825773583936663.9,62162649091329.6,308724333528608.8,4629.241873208219,19.32680486667515
86,China,2011,9.033845859,7671760000000.0,45.80020541,8.016062929,1345035000.0,45.16594057,86.9942154,10.15120002,49.94582723,69305497307241.836,351368183856221.56,346502256227303.2,667398741937104.0,77877570265435.19,383172399510024.8,5703.762355626433,23.886728590437567
87,China,2012,8.965056735,8673660000000.0,44.68206982,2.405184127,1354190000.0,46.35287426,57.9593439,10.08946676,47.48021308,77759854000100.1,387557081714941.25,402049071353991.6,502719642811674.0,87512604257541.61,411827224983472.8,6405.0539436858935,13.059584762818432
88,China,2013,8.784421316,9743120000000.0,43.39387078,2.297993974,1363240000.0,47.82170571,78.98884203,9.732162504,45.91604138,85587671012345.92,422791690274033.6,465932617337215.25,769597766559333.6,94821627135972.48,447365501090305.6,7147.032070655204,12.329973736577182
89,China,2014,8.482429409,10674500000000.0,42.28271578,1.091091266,1371860000.0,49.23486111,112.0360858,9.498268375,44.06845648,90545692726370.5,451346849593609.94,525557524918695.0,1195929197872100.0,101389265768937.5,470408738695760.0,7781.0417972679425,9.559360861818389
90,China,2015,8.224013595,11280800000000.0,40.04759022,0.137261201,1379860000.0,51.72839163,348.6097177,9.194680386,38.69718484,92773452562476.0,451768855753775.94,583537640299704.0,3932596503430159.5,103723350498388.8,436535202743072.0,8175.322134129549,5.679891329804665
91,China,2016,7.900650175,11456000000000.0,38.81115609,1.477441213,1387790000.0,53.28819366,159.6981526,8.945561904,36.17717069,90509848404800.0,444620604167039.94,610469546568960.0,1829502036185599.8,102480357172224.0,414445667424639.94,8254.851238299743,1.5530813417488076
92,China,2017,7.328392393,12537600000000.0,39.12994435,4.146022375,1396215000.0,53.5416634,137.3738695,9.248724393,36.95085262,91880452466476.8,490595590282560.0,671283959043840.0,1722338626243200.2,115956806949676.8,463275009808512.0,8979.705847595105,9.441340782122909
93,China,2018,6.917142892,14147800000000.0,38.97770017,3.467897773,1402760000.0,54.10516404,92.38661743,8.890890344,36.89438439,97862354207437.61,551448706465126.0,765469039805112.0,1307067386076154.0,125786538408843.2,521974371472842.0,10085.688214662523,12.842968351199602
94,China,2019,7.006215758,14560200000000.0,37.76423332,1.315506507,1407745000.0,55.22955993,125.3380159,8.329425502,35.19942027,102011902679631.6,549854789985864.06,804153438492786.0,1824946579107180.0,121278101194220.39,512510599015253.94,10342.924322231655,2.9149408388583486
95,China,2020,7.540181985,14996400000000.0,36.91156241,0.530000817,1411100000.0,55.54825564,210.6072701,7.924097498,34.03895079,113075585119854.0,553540554525324.0,833023860879696.0,3158350865327640.0,118832935719007.2,510461721627156.0,10627.453759478421,2.9958379692586634
96,China,2021,7.089352516,18201700000000.0,38.0924722,4.473861321,1412360000.0,54.81817957,221.7375101,7.798296413,36.52069118,129038267690477.2,693347751242740.0,997784059079269.0,4035999637587170.0,141942251820502.1,664738664651006.0,12887.436630887309,21.373796377797326
97,China,2022,7.147886928,18316800000000.0,37.89452666,1.934274078,1412175000.0,54.95758043,177.2288854,7.517994644,37.44071988,130926415282790.4,694106465925888.0,1006647009220224.0,3246266048094720.0,137705604295219.2,685794177897984.0,12970.630410536938,0.6323585159627942
98,China,2023,6.889519411,18270400000000.0,36.77250302,-0.505704539,1410710000.0,56.33797757,163.1879088,7.638233008,36.10519237,125874275446734.4,671848339176608.0,1029317385394928.0,2981508368939520.0,139553572349363.2,659656306676848.0,12951.208965698124,-0.2533193570929404
99,China,2024,6.775998813,18743800000000.0,36.47565945,-0.70720001,1408975000.0,56.74834174,186.0544206,,37.19842014,127007966551109.4,683692465598910.0,1063679567906212.0,3487366848842279.5,,697239747420132.0,13303.145903937258,2.5910762763814654
100,Denmark,2000,2.149530126,164044000000.0,23.67975779,3.013378582,5339616.0,60.31195618,54.80841127,31.50094176,83.04208595,352617519989.544,3884522186902.76,9893814539591.92,8990991018375.88,5167540490077.44,13622555947581.8,30722.059414010295,-99.12480927026537
101,Denmark,2001,2.309814109,164882000000.0,22.89763479,2.517346511,5358783.0,60.91760424,40.04453028,30.19267544,83.9226646,380846769920.138,3775407819444.7803,10044216422299.68,6602622241626.959,4978228711898.08,13837336784577.201,30768.553233075494,0.5108385555095074
102,Denmark,2002,1.754845458,178788000000.0,22.65510341,2.389329037,5375931.0,61.52203731,18.18234551,30.19371284,84.48459255,313745309744.904,4050460628467.0796,10999402006580.281,3250785189041.8804,5398273531237.92,15104831332829.4,33257.12327780993,8.433910311616799
103,Denmark,2003,1.587003572,218421000000.0,22.16953279,1.49453568,5390574.0,62.29305095,20.08843066,30.27389183,80.76130018,346634907199.812,4842291521524.591,13606110481549.951,4387735113187.86,6612453727400.43,17639963946615.78,40519.06160642633,22.16759514061346
104,Denmark,2004,1.596823347,251986000000.0,22.13709947,2.084889408,5404523.0,62.04568175,27.06103827,31.23567868,82.00773082,402377127917.14197,5578239147047.42,15634643161455.5,6819002789504.221,7870953727858.4795,20664800058408.523,46625.02130160238,15.367112136653539
105,Denmark,2005,1.130563888,265150000000.0,22.11186319,2.897948204,5419432.0,61.77176242,,32.98969075,89.39879525,299769014903.2,5862960524828.5,16378782805663.0,,8747216502362.5,23704090560537.5,48925.79148515933,5.224099751573497
